#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Description
7197,Blog App,Story,"",Accepted,Should have,As a blog editor I want to define my username and password when I launch the app the first time,Robert Lemke,Robert Lemke,2010-10-20 05:52,"","",2010-04-09,"","",0,2010-04-09 10:11,"","",2875900,"","* a form is displayed asking to enter a username and a password
* on submit the user is created and automatically logged in
* after logging out the user is able to login again with the specified username and password"
27279,Blog App,Task,"",New,Should have,Add Selenium tests for the Blog,Sebastian Kurfuerst,"",2011-06-07 12:00,"","",2011-06-07,"","",0,2011-06-07 12:00,"","",139000,"","Should test *basic CRUD functionality* as well as validation errors, and some complex interactions with widgets.

* List blog posts (with pagination -> Widgets)
* Go from blog post listing to single page
* Edit Post
* Edit Post (validation error, with resubmission)
* Create Post -> With Autocompletion widget
* Delete Post"
32837,Blog App,Task,"",New,Should have,Blog App not work after inital checkout,Thomas Peterson,"",2011-12-26 21:38,"","",2011-12-27,"","",0,2011-12-26 21:38,"","",409100,"","Changes:

In Settings.yml
@
FLOW3:
    persistence:
      backendOptions:
        dbname: 'blog'   # adjust to your database name
        user: 'root'     # adjust to your database user
        password: ''     # adjust to your database password

to:
TYPO3:
  FLOW3:
    persistence:
      backendOptions:
        dbname: 'blog'   # adjust to your database name
        user: 'root'     # adjust to your database user
        password: ''     # adjust to your database password
@

And the FLOW3 Package updated to master.
With the current FLOW3 version setup manager is not working because the logout Problem is in this branch.
After an: git checkout master --force it is running."
