#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Description
42940,TYPO3.SOAP,Bug,"",Resolved,Should have,Must be compatible with TYPO3 Flow 1.2,Dominique Feyer,"",2013-11-04 03:30,"","",2012-11-13,"","",100,2012-11-13 14:07,"","",901050,"",Support composer and PSR-1
42941,TYPO3.SOAP,Bug,"",New,Should have,Support for subpackage,Dominique Feyer,"",2012-11-13 14:25,"","",2012-11-13,"","",0,2012-11-13 14:25,"","",901100,"","Currently the package don't support subpackage

If somebody can help me implementing this feature, you are welcome"
